"Papel";"Cotação";"P/L";"P/VP";"PSR";"Div.Yield";"P/Ativo";"P/Cap.Giro";"P/EBIT";"P/Ativ Circ.Liq";"EV/EBIT";"Mrg Ebit";"Mrg. Líq.";"Liq. Corr.";"ROIC";"ROE";"Liq.2meses";"Patrim. Líq";"Dív.Brut/ Patrim.";"Cresc. Rec.5a"
"TAEE3";"10,07";"10,27";"2,20";"6,267";"3,87%";"1,146";"6,64";"9,44";"-4,96";"12,72";"66,40%";"61,03%";"3,29";"12,22%";"21,42%";"67.678,00";"4.731.630.000,00";"0,77";"-2,98%"
"TRFO3";"4,53";"10,32";"2,58";"0,804";"0,00%";"1,039";"4,65";"5,52";"7,37";"5,12";"14,58%";"7,80%";"1,43";"27,63%";"25,01%";"0,00";"76.165.000,00";"0,26";"16,47%"
"BESP3";"330,00";"10,38";"2,47";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"23,77%";"0,00";"5.183.100.000,00";"0,00";"1,83%"
"VIVT3";"45,60";"10,38";"1,11";"1,765";"10,79%";"0,682";"149,39";"11,20";"-3,74";"12,48";"15,76%";"16,99%";"1,02";"6,89%";"10,66%";"2.743.700,00";"69.666.100.000,00";"0,21";"3,84%"
"CMIG4";"14,50";"10,41";"1,38";"0,910";"4,10%";"0,351";"5,29";"5,11";"-1,35";"8,22";"17,79%";"8,92%";"1,17";"7,27%";"13,22%";"130.673.000,00";"15.374.900.000,00";"0,92";"3,37%"
"TCOC4";"27,20";"10,43";"1,26";"1,558";"0,00%";"0,915";"2,65";"10,14";"3,07";"7,89";"15,37%";"14,93%";"2,53";"13,98%";"12,06%";"0,00";"2.812.920.000,00";"0,04";"16,71%"
"JHSF3";"4,15";"10,52";"0,98";"4,084";"2,79%";"0,453";"-48,18";"19,62";"-1,01";"28,13";"20,82%";"40,95%";"0,90";"2,39%";"9,33%";"6.985.220,00";"2.242.220.000,00";"0,48";"-6,45%"
"JOPA3";"24,00";"10,52";"0,52";"0,220";"2,70%";"0,134";"0,40";"4,10";"-18,39";"10,90";"5,38%";"2,62%";"2,09";"4,49%";"4,92%";"861,67";"490.684.000,00";"1,81";"2,31%"
"CARD3";"6,42";"10,55";"1,09";"0,642";"5,46%";"0,553";"-64,51";"8,47";"-2,18";"12,01";"7,58%";"6,08%";"0,97";"7,48%";"10,34%";"616.182,00";"245.935.000,00";"0,56";"-1,24%"
"SLCE3";"18,27";"10,59";"1,29";"1,190";"5,18%";"0,569";"5,12";"6,36";"-4,08";"8,69";"18,71%";"11,91%";"1,40";"10,23%";"12,22%";"29.567.300,00";"2.690.190.000,00";"0,63";"17,43%"
"TRFO4";"4,70";"10,70";"2,68";"0,835";"0,00%";"1,078";"4,82";"5,73";"7,65";"5,33";"14,58%";"7,80%";"1,43";"27,63%";"25,01%";"0,00";"76.165.000,00";"0,26";"16,47%"
"CRIV4";"6,69";"10,71";"0,76";"0,000";"5,80%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"7,06%";"23.685,00";"910.359.000,00";"0,00";"0,96%"
"SOND3";"38,00";"10,72";"1,53";"1,777";"15,06%";"1,096";"3,17";"91,75";"4,97";"68,57";"1,94%";"16,58%";"3,18";"1,68%";"14,29%";"90,48";"60.989.000,00";"0,00";"-26,11%"
"ALUP11";"26,67";"10,75";"1,65";"2,934";"2,36%";"0,507";"2,33";"4,64";"-2,15";"6,34";"63,30%";"47,32%";"3,24";"14,61%";"15,37%";"15.635.900,00";"4.730.850.000,00";"1,35";"12,55%"
"BESP4";"344,00";"10,82";"2,57";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"23,77%";"0,00";"5.183.100.000,00";"0,00";"1,83%"
"CLSC4";"46,86";"10,84";"0,96";"0,225";"2,25%";"0,184";"77,38";"6,03";"-0,49";"7,91";"3,73%";"2,08%";"1,01";"3,75%";"8,87%";"362.766,00";"1.879.780.000,00";"0,70";"4,42%"
"PETR4";"26,35";"10,86";"1,13";"1,001";"3,68%";"0,356";"8,00";"3,51";"-0,72";"6,79";"28,50%";"9,74%";"1,31";"11,16%";"10,42%";"1.171.700.000,00";"303.619.000.000,00";"1,28";"0,89%"
"TECN3";"2,70";"10,89";"0,46";"0,676";"0,00%";"0,279";"0,86";"9,81";"4,04";"10,88";"6,89%";"6,21%";"3,22";"3,33%";"4,27%";"679.718,00";"456.157.000,00";"0,17";"-7,16%"
"CLSC3";"47,22";"10,93";"0,97";"0,227";"2,03%";"0,185";"77,97";"6,08";"-0,50";"7,96";"3,73%";"2,08%";"1,01";"3,75%";"8,87%";"674,57";"1.879.780.000,00";"0,70";"4,42%"
"BRIV3";"7,20";"10,94";"0,44";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"4,00%";"16.727,40";"1.456.950.000,00";"0,00";"4,23%"
"GRNL4";"470,00";"11,09";"1,07";"7,231";"0,00%";"0,975";"8,04";"-64,72";"15,01";"-63,22";"-11,17%";"65,19%";"4,35";"-1,65%";"9,69%";"0,00";"93.104.000,00";"0,05";"21,48%"
"ELUM3";"36,00";"11,12";"1,50";"0,940";"0,00%";"0,886";"2,31";"14,76";"2,51";"10,02";"6,37%";"8,46%";"2,02";"9,40%";"13,47%";"0,00";"443.231.000,00";"0,08";"8,40%"
"VLID3";"13,60";"11,15";"0,89";"0,533";"6,06%";"0,399";"1,83";"5,58";"-3,57";"9,43";"9,56%";"4,81%";"2,02";"8,86%";"7,98%";"6.620.590,00";"1.088.170.000,00";"0,90";"3,84%"
"COCE3";"47,00";"11,15";"1,25";"0,698";"3,98%";"0,425";"63,05";"8,94";"-1,00";"13,91";"7,81%";"6,26%";"1,03";"5,39%";"11,24%";"1.618,57";"2.919.700.000,00";"0,82";"7,03%"
"ENMT3";"26,00";"11,21";"3,06";"1,210";"5,80%";"0,779";"30,15";"7,30";"-1,60";"11,80";"16,58%";"10,79%";"1,11";"11,70%";"27,31%";"30.263,90";"1.808.050.000,00";"2,01";"11,40%"
"RIPI3";"48,01";"11,23";"-28,94";"-7,449";"0,00%";"7,092";"-59,55";"-8,79";"-16,76";"-9,31";"84,70%";"-66,31%";"0,87";"-99,10%";"-257,61%";"0,00";"-49.103.000,00";"-2,44";"5,82%"
"CZLT33";"29,23";"11,24";"1,39";"0,526";"0,00%";"0,145";"1,87";"3,10";"-0,29";"10,26";"16,97%";"9,14%";"1,58";"5,31%";"12,36%";"0,00";"5.691.680.000,00";"3,93";"7,88%"
"EEEL3";"250,00";"11,31";"0,98";"2,257";"5,77%";"0,473";"2,86";"8,01";"-2,06";"8,87";"28,18%";"19,83%";"2,41";"6,41%";"8,65%";"1.785,67";"2.473.870.000,00";"0,24";"16,31%"
"RIPI4";"48,50";"11,35";"-29,24";"-7,525";"0,00%";"7,164";"-60,16";"-8,88";"-16,93";"-9,40";"84,70%";"-66,31%";"0,87";"-99,10%";"-257,61%";"0,00";"-49.103.000,00";"-2,44";"5,82%"
"LUXM4";"18,85";"11,40";"0,92";"0,749";"2,48%";"0,514";"-39,46";"5,80";"-1,56";"7,72";"12,92%";"6,57%";"0,89";"9,43%";"8,04%";"2.387,21";"106.875.000,00";"0,37";"19,43%"
"EBCO4";"1,00";"11,46";"0,80";"0,330";"0,00%";"0,351";"50,21";"8,51";"-14,31";"8,26";"3,88%";"2,90%";"1,01";"5,04%";"7,00%";"0,00";"828.097.000,00";"0,02";"6,09%"
"LEVE3";"25,52";"11,52";"2,33";"1,261";"8,50%";"1,330";"5,13";"7,72";"21,61";"8,18";"16,33%";"11,01%";"2,11";"19,88%";"20,18%";"5.642.780,00";"1.408.150.000,00";"0,26";"1,68%"
"ITSA3";"13,06";"11,54";"2,18";"21,189";"8,09%";"1,768";"29,73";"382,74";"-42,05";"386,02";"5,54%";"188,87%";"2,50";"0,48%";"18,89%";"4.878.520,00";"50.402.000.000,00";"0,08";"1,21%"
"BBDC3";"31,47";"11,56";"1,90";"0,000";"2,90%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"16,43%";"90.950.200,00";"133.636.000.000,00";"0,00";"20,12%"
"DOHL3";"8,20";"11,59";"0,87";"1,034";"2,44%";"0,691";"1,67";"18,81";"2,48";"18,07";"5,50%";"8,93%";"7,13";"4,01%";"7,46%";"0,00";"573.640.000,00";"0,05";"5,47%"
"ITSA4";"13,12";"11,59";"2,19";"21,287";"8,05%";"1,776";"29,86";"384,49";"-42,25";"387,78";"5,54%";"188,87%";"2,50";"0,48%";"18,89%";"284.160.000,00";"50.402.000.000,00";"0,08";"1,21%"
"GGBR4";"13,39";"11,59";"0,87";"0,524";"3,29%";"0,450";"2,51";"5,51";"-3,01";"8,51";"9,51%";"4,57%";"2,19";"9,25%";"7,54%";"162.026.000,00";"26.365.100.000,00";"0,56";"0,30%"
"SAPR3";"21,25";"11,60";"1,80";"2,512";"3,84%";"0,962";"-39,82";"6,63";"-2,61";"8,21";"37,86%";"21,66%";"0,80";"15,20%";"15,55%";"409.347,00";"5.934.740.000,00";"0,49";"12,65%"
"TEMP3";"4,15";"11,64";"4,92";"0,980";"0,00%";"2,014";"9,98";"10,60";"19,39";"9,55";"9,25%";"8,42%";"1,41";"34,49%";"42,27%";"0,00";"135.736.000,00";"0,23";"-13,11%"
"NAFG4";"70,00";"11,81";"2,33";"1,235";"1,95%";"1,339";"6,87";"7,09";"27,69";"7,62";"17,41%";"10,62%";"1,71";"21,78%";"19,74%";"16.107,60";"407.715.000,00";"0,26";"9,26%"
"ENMT4";"27,50";"11,86";"3,24";"1,280";"7,96%";"0,824";"31,89";"7,72";"-1,70";"12,22";"16,58%";"10,79%";"1,11";"11,70%";"27,31%";"3.393,19";"1.808.050.000,00";"2,01";"11,40%"
"PETR3";"28,87";"11,90";"1,24";"1,096";"1,04%";"0,390";"8,76";"3,85";"-0,79";"7,12";"28,50%";"9,74%";"1,31";"11,16%";"10,42%";"379.910.000,00";"303.619.000.000,00";"1,28";"0,89%"
"FIBR3";"66,30";"12,03";"2,59";"2,010";"7,59%";"0,899";"9,59";"5,13";"-2,54";"7,17";"39,18%";"16,75%";"1,46";"22,95%";"21,57%";"0,00";"14.149.000.000,00";"1,46";"22,71%"
"EBCO3";"1,05";"12,03";"0,84";"0,346";"0,00%";"0,368";"52,72";"8,94";"-15,02";"8,68";"3,88%";"2,90%";"1,01";"5,04%";"7,00%";"0,00";"828.097.000,00";"0,02";"6,09%"
"TEND3";"27,20";"12,07";"2,27";"1,564";"1,93%";"0,944";"1,75";"8,01";"7,01";"7,20";"19,52%";"13,03%";"4,00";"18,53%";"18,79%";"16.077.000,00";"1.251.440.000,00";"0,60";"31,27%"
"MTSA4";"23,09";"12,07";"0,90";"0,756";"4,55%";"0,717";"1,37";"13,29";"1,46";"10,10";"5,69%";"6,26%";"4,13";"7,44%";"7,45%";"128.252,00";"234.667.000,00";"0,08";"4,54%"
"VIVT4";"53,26";"12,13";"1,29";"2,061";"10,16%";"0,797";"174,48";"13,08";"-4,36";"14,36";"15,76%";"16,99%";"1,02";"6,89%";"10,66%";"93.093.200,00";"69.666.100.000,00";"0,21";"3,84%"
"MPLU3";"26,80";"12,20";"17,37";"6,877";"3,04%";"2,676";"50,65";"10,34";"66,01";"7,71";"66,52%";"56,37%";"1,06";"129,57%";"142,40%";"0,00";"250.279.000,00";"0,00";"-18,88%"
"ITUB3";"31,81";"12,23";"2,48";"0,000";"7,78%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"20,28%";"13.567.900,00";"125.788.000.000,00";"0,00";"-12,34%"
"BRML3";"14,68";"12,29";"1,20";"10,582";"7,28%";"0,691";"16,35";"14,99";"-2,23";"16,98";"70,58%";"93,28%";"1,83";"5,00%";"9,80%";"121.388.000,00";"10.641.300.000,00";"0,29";"-2,85%"
"PMAM3";"23,10";"12,29";"1,38";"0,173";"0,00%";"0,231";"1,27";"4,07";"-0,77";"12,40";"4,25%";"1,40%";"1,52";"7,37%";"11,26%";"2.768.300,00";"690.033.000,00";"3,06";"-0,92%"
"ALUP3";"10,25";"12,40";"1,90";"3,383";"2,05%";"0,585";"2,69";"5,34";"-2,48";"7,05";"63,30%";"47,32%";"3,24";"14,61%";"15,37%";"60.437,20";"4.730.850.000,00";"1,35";"12,55%"
"AMPI3";"55,00";"12,41";"2,74";"0,247";"0,00%";"0,177";"5,68";"0,98";"-0,68";"1,99";"25,18%";"15,11%";"1,12";"21,22%";"22,09%";"0,00";"240.799.000,00";"4,48";"14,12%"
"LLIS3";"24,98";"12,46";"0,58";"1,078";"1,91%";"0,293";"5,63";"7,67";"-1,40";"14,80";"14,06%";"5,86%";"1,22";"4,75%";"4,68%";"638.767,00";"2.213.070.000,00";"0,80";"7,12%"
"CMIG3";"17,45";"12,52";"1,66";"1,095";"3,41%";"0,423";"6,37";"6,15";"-1,62";"9,26";"17,79%";"8,92%";"1,17";"7,27%";"13,22%";"23.020.900,00";"15.374.900.000,00";"0,92";"3,37%"
"BRIV4";"8,28";"12,58";"0,50";"0,000";"6,53%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"4,00%";"46.565,50";"1.456.950.000,00";"0,00";"4,23%"
"PTBL3";"4,22";"12,63";"1,94";"2,482";"5,15%";"0,382";"3,31";"-9,87";"-0,89";"-18,13";"-25,14%";"19,64%";"1,45";"-4,62%";"15,38%";"4.308.530,00";"344.294.000,00";"2,06";"-22,53%"
"ENAT3";"12,01";"12,65";"1,16";"3,503";"15,88%";"0,768";"2,27";"13,36";"8,70";"8,29";"26,23%";"27,69%";"4,79";"9,35%";"9,19%";"9.216.380,00";"2.744.900.000,00";"0,10";"13,76%"
"TMGC7";"800,01";"12,68";"1,63";"1,164";"0,00%";"1,120";"6,77";"17,85";"11,96";"16,52";"6,52%";"9,18%";"1,69";"8,73%";"12,83%";"0,00";"1.167.010.000,00";"0,05";"10,49%"
"BRGE6";"9,10";"12,81";"0,58";"26,164";"7,29%";"0,213";"1,04";"-1,65";"1,26";"2,59";"-1.581,23%";"321,80%";"1,48";"-28,26%";"4,52%";"243,07";"1.158.250.000,00";"0,00";"-0,56%"
"PSSA3";"54,76";"12,85";"2,29";"0,999";"5,81%";"0,580";"3,46";"1,25";"-12,13";"0,51";"79,92%";"7,76%";"1,32";"70,90%";"17,84%";"37.900.900,00";"7.726.100.000,00";"0,00";"97,11%"
"BBDC4";"35,06";"12,88";"2,12";"0,000";"2,86%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"16,43%";"686.987.000,00";"133.636.000.000,00";"0,00";"20,12%"
"SANB4";"21,94";"12,91";"2,41";"0,000";"4,72%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"18,70%";"423.733,00";"68.177.300.000,00";"0,00";"23,95%"
"AVIL3";"0,93";"12,97";"4,16";"2,338";"0,00%";"2,227";"3,89";"10,00";"9,02";"9,40";"23,38%";"18,01%";"5,14";"40,99%";"32,03%";"0,00";"1.106.590.000,00";"0,52";"1,74%"
"DXTG4";"3,68";"13,02";"1,32";"0,675";"0,00%";"0,689";"2,44";"6,26";"7,48";"6,33";"10,78%";"6,60%";"2,77";"12,31%";"10,10%";"0,00";"768.999.000,00";"0,04";"8,30%"
"USIM5";"8,30";"13,05";"0,72";"0,717";"1,92%";"0,397";"2,01";"7,64";"-4,97";"10,73";"9,38%";"6,46%";"2,73";"5,73%";"5,53%";"102.594.000,00";"14.416.700.000,00";"0,38";"9,45%"
"SFSA4";"4,40";"13,10";"0,82";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"6,25%";"0,00";"739.524.000,00";"0,00";"0,15%"
"VALE5";"33,36";"13,12";"1,08";"1,239";"0,00%";"0,481";"14,92";"3,06";"-1,26";"3,83";"40,45%";"9,35%";"1,24";"17,51%";"8,23%";"0,00";"163.139.000.000,00";"0,41";"14,17%"
"SANB11";"44,69";"13,15";"2,46";"0,000";"4,42%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"18,70%";"71.182.900,00";"68.177.300.000,00";"0,00";"23,95%"
"GETI3";"14,45";"13,19";"3,44";"1,916";"0,00%";"1,314";"-15,63";"6,98";"-3,19";"8,20";"27,43%";"14,52%";"0,71";"22,70%";"26,09%";"0,00";"1.601.130.000,00";"0,86";"13,39%"
"GETI4";"14,46";"13,20";"3,44";"1,917";"0,00%";"1,315";"-15,64";"6,99";"-3,20";"8,20";"27,43%";"14,52%";"0,71";"22,70%";"26,09%";"0,00";"1.601.130.000,00";"0,86";"13,39%"
"AFLT3";"5,97";"13,22";"1,81";"9,909";"1,75%";"1,725";"6,00";"13,33";"6,83";"11,83";"74,32%";"74,98%";"25,95";"16,28%";"13,69%";"9.039,69";"208.222.000,00";"0,01";"4,75%"
"SBSP3";"56,55";"13,32";"1,91";"2,377";"2,05%";"0,892";"729,43";"7,43";"-2,13";"9,34";"32,01%";"17,84%";"1,01";"12,80%";"14,37%";"112.616.000,00";"20.199.000.000,00";"0,60";"10,36%"
"VULC3";"7,71";"13,36";"1,90";"1,454";"0,00%";"1,413";"3,36";"12,73";"4,32";"12,49";"11,42%";"10,89%";"3,59";"12,55%";"14,22%";"5.117.360,00";"997.658.000,00";"0,05";"9,55%"
"SANB3";"22,78";"13,40";"2,51";"0,000";"4,13%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"18,70%";"252.475,00";"68.177.300.000,00";"0,00";"23,95%"
"RGEG3";"3,00";"13,42";"1,60";"0,770";"0,00%";"0,609";"-98,28";"6,23";"-1,76";"10,04";"12,36%";"5,74%";"0,98";"11,69%";"11,90%";"0,00";"1.915.180.000,00";"1,15";"10,09%"
"HAGA3";"5,99";"13,46";"-0,91";"3,095";"0,00%";"1,246";"3,11";"-25,05";"-0,79";"-28,44";"-12,36%";"23,00%";"1,99";"-12,77%";"-6,75%";"2.727,33";"-78.493.000,00";"-0,56";"-9,27%"
"NAFG3";"79,95";"13,49";"2,66";"1,411";"1,71%";"1,530";"7,85";"8,10";"31,62";"8,63";"17,41%";"10,62%";"1,71";"21,78%";"19,74%";"2.271,48";"407.715.000,00";"0,26";"9,26%"
"MRVE3";"22,64";"13,52";"2,15";"1,693";"3,10%";"0,703";"1,98";"10,53";"-8,29";"13,04";"16,08%";"13,50%";"2,68";"7,23%";"15,87%";"88.571.700,00";"4.685.470.000,00";"0,65";"6,65%"
"PEAB4";"43,51";"13,54";"1,04";"1,471";"6,91%";"0,815";"2,52";"14,90";"3,39";"9,42";"9,87%";"10,94%";"3,55";"8,16%";"7,65%";"588,69";"539.594.000,00";"0,00";"9,85%"
"EEEL4";"299,98";"13,57";"1,17";"2,709";"5,29%";"0,568";"3,43";"9,61";"-2,47";"10,47";"28,18%";"19,83%";"2,41";"6,41%";"8,65%";"2.797,52";"2.473.870.000,00";"0,24";"16,31%"
"PEAB3";"44,00";"13,70";"1,05";"1,488";"6,21%";"0,824";"2,55";"15,07";"3,43";"9,58";"9,87%";"10,94%";"3,55";"8,16%";"7,65%";"4.534,19";"539.594.000,00";"0,00";"9,85%"
"NEOE3";"21,27";"13,76";"1,44";"0,928";"2,97%";"0,544";"7,08";"6,00";"-1,40";"10,30";"15,47%";"6,99%";"1,52";"10,16%";"10,44%";"74.869.000,00";"17.976.200.000,00";"1,18";"20,71%"
"NEOE3";"21,27";"13,76";"1,44";"0,928";"2,97%";"0,544";"7,08";"6,00";"-1,40";"10,30";"15,47%";"6,99%";"1,52";"10,16%";"10,44%";"74.869.000,00";"17.976.200.000,00";"1,18";"20,71%"
"BSLI3";"39,00";"13,88";"0,98";"0,000";"3,73%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"7,09%";"1.021,14";"1.439.390.000,00";"0,00";"-16,29%"
"ARCE3";"54,00";"14,01";"2,60";"2,461";"0,00%";"1,726";"11,33";"8,89";"102,03";"9,07";"27,70%";"19,46%";"1,97";"22,04%";"18,59%";"0,00";"13.495.400.000,00";"0,17";"48,47%"
"TRIS3";"8,25";"14,08";"2,05";"1,992";"1,66%";"1,029";"2,23";"11,71";"3,21";"13,22";"17,01%";"15,26%";"2,46";"10,21%";"14,58%";"3.798.020,00";"587.321.000,00";"0,46";"13,82%"
"COCE5";"59,92";"14,22";"1,60";"0,890";"3,12%";"0,541";"80,38";"11,40";"-1,28";"16,37";"7,81%";"6,26%";"1,03";"5,39%";"11,24%";"1.489.800,00";"2.919.700.000,00";"0,82";"7,03%"
"MYPK4";"31,79";"14,22";"1,57";"0,479";"0,00%";"0,529";"6,40";"6,58";"-2,13";"10,13";"7,28%";"4,35%";"1,27";"9,73%";"11,03%";"0,00";"3.114.830.000,00";"0,96";"12,38%"
"ITUB4";"37,00";"14,22";"2,88";"0,000";"6,69%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"20,28%";"801.951.000,00";"125.788.000.000,00";"0,00";"-12,34%"
"POMO3";"3,67";"14,25";"1,58";"0,793";"3,21%";"0,690";"2,59";"13,51";"52,74";"16,75";"5,87%";"5,81%";"1,88";"7,03%";"11,12%";"278.872,00";"2.193.410.000,00";"0,81";"10,46%"
"TMGC11";"900,00";"14,26";"1,83";"1,309";"0,00%";"1,260";"7,62";"20,08";"13,46";"18,75";"6,52%";"9,18%";"1,69";"8,73%";"12,83%";"0,00";"1.167.010.000,00";"0,05";"10,49%"
"TNCP4";"182,60";"14,42";"2,49";"3,091";"0,00%";"1,696";"52,65";"11,85";"-22,30";"11,88";"26,08%";"21,44%";"1,15";"16,48%";"17,29%";"0,00";"13.081.500.000,00";"0,09";"97,79%"
"GRND3";"7,76";"14,53";"2,04";"3,234";"3,47%";"1,880";"2,55";"21,47";"2,57";"15,94";"15,06%";"22,25%";"11,24";"18,45%";"14,04%";"11.291.200,00";"3.430.820.000,00";"0,04";"-0,28%"
"CEEB3";"36,00";"14,57";"1,96";"1,256";"11,52%";"0,613";"14,65";"8,42";"-1,33";"14,19";"14,91%";"8,62%";"1,23";"8,13%";"13,45%";"10.925,10";"4.815.560.000,00";"1,50";"5,51%"
"CEEB5";"36,00";"14,57";"1,96";"1,256";"0,00%";"0,613";"14,65";"8,42";"-1,33";"14,19";"14,91%";"8,62%";"1,23";"8,13%";"13,45%";"511,91";"4.815.560.000,00";"1,50";"5,51%"
"BRKM6";"50,40";"14,57";"4,51";"0,699";"0,00%";"0,629";"-7,56";"7,66";"-1,12";"11,31";"9,13%";"4,73%";"0,79";"10,87%";"30,96%";"0,00";"8.907.290.000,00";"2,88";"5,39%"
"TNCP3";"184,85";"14,59";"2,52";"3,129";"0,00%";"1,717";"53,30";"12,00";"-22,58";"12,03";"26,08%";"21,44%";"1,15";"16,48%";"17,29%";"0,00";"13.081.500.000,00";"0,09";"97,79%"
"KSSA3";"5,33";"14,66";"1,40";"0,916";"0,00%";"0,406";"1,72";"5,62";"6,73";"12,30";"16,31%";"8,42%";"1,47";"7,67%";"9,58%";"0,00";"553.026.000,00";"1,80";"40,68%"
"ALLL11";"16,50";"14,71";"0,68";"0,754";"0,00%";"0,183";"3,83";"2,74";"-0,31";"7,87";"27,55%";"5,25%";"1,57";"7,03%";"4,65%";"0,00";"7.524.720.000,00";"1,41";"17,68%"
"CSMG3";"70,97";"14,74";"1,39";"1,847";"2,46%";"0,790";"12,22";"9,07";"-2,98";"12,10";"20,35%";"12,53%";"1,63";"9,23%";"9,43%";"33.157.100,00";"6.468.060.000,00";"0,54";"5,27%"
"ELUM4";"47,90";"14,79";"1,99";"1,251";"0,00%";"1,178";"3,07";"19,64";"3,34";"14,90";"6,37%";"8,46%";"2,02";"9,40%";"13,47%";"0,00";"443.231.000,00";"0,08";"8,40%"
"ALLL4";"3,32";"14,80";"0,69";"0,759";"0,00%";"0,184";"3,85";"2,75";"-0,31";"7,88";"27,55%";"5,25%";"1,57";"7,03%";"4,65%";"0,00";"7.524.720.000,00";"1,41";"17,68%"
"SULA4";"14,01";"14,89";"2,45";"0,796";"1,47%";"0,612";"1,69";"19,37";"-19,21";"2,59";"4,11%";"5,34%";"2,02";"8,03%";"16,42%";"10.169,20";"6.772.900.000,00";"0,30";"10,06%"
"TCOC3";"38,85";"14,90";"1,80";"2,225";"0,00%";"1,307";"3,78";"14,48";"4,39";"12,23";"15,37%";"14,93%";"2,53";"13,98%";"12,06%";"0,00";"2.812.920.000,00";"0,04";"16,71%"
"USIM3";"9,48";"14,91";"0,82";"0,818";"1,53%";"0,454";"2,30";"8,72";"-5,67";"11,82";"9,38%";"6,46%";"2,73";"5,73%";"5,53%";"355.005,00";"14.416.700.000,00";"0,38";"9,45%"
"BSLI4";"42,00";"14,94";"1,06";"0,000";"3,81%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"7,09%";"706,86";"1.439.390.000,00";"0,00";"-16,29%"
"POMO4";"3,85";"14,95";"1,66";"0,832";"3,06%";"0,724";"2,72";"14,17";"55,33";"17,41";"5,87%";"5,81%";"1,88";"7,03%";"11,12%";"11.945.500,00";"2.193.410.000,00";"0,81";"10,46%"
"RDCD3";"35,16";"15,07";"14,74";"7,936";"0,00%";"0,925";"21,14";"13,40";"22,70";"14,25";"59,23%";"52,65%";"1,05";"6,97%";"97,78%";"0,00";"1.605.520.000,00";"1,04";"12,16%"
"GEPA3";"42,00";"15,30";"2,30";"2,857";"7,94%";"0,887";"-62,13";"7,84";"-2,67";"8,75";"36,46%";"18,68%";"0,95";"20,11%";"15,03%";"4.404,29";"1.724.630.000,00";"0,89";"4,76%"
"TMGC13";"966,14";"15,31";"1,96";"1,406";"0,00%";"1,353";"8,18";"21,56";"14,45";"20,23";"6,52%";"9,18%";"1,69";"8,73%";"12,83%";"0,00";"1.167.010.000,00";"0,05";"10,49%"
"BEMA3";"10,80";"15,32";"1,22";"1,293";"0,00%";"0,808";"3,18";"14,34";"11,45";"14,43";"9,01%";"8,44%";"2,66";"6,96%";"7,95%";"0,00";"457.342.000,00";"0,19";"10,58%"
"YDUQ3";"34,55";"15,51";"3,77";"2,953";"5,33%";"1,889";"12,93";"12,91";"-10,01";"14,31";"22,87%";"19,03%";"1,89";"17,82%";"24,27%";"93.528.300,00";"2.835.890.000,00";"0,72";"8,53%"
"MTIG4";"100,20";"15,53";"1,12";"0,167";"0,44%";"0,244";"-1,29";"2,42";"-0,66";"7,02";"6,90%";"1,08%";"0,69";"11,31%";"7,19%";"2.363,10";"21.640.100,00";"2,15";"12,78%"
"PCAR5";"67,12";"15,61";"1,68";"0,345";"0,00%";"0,547";"-32,62";"5,52";"-1,77";"5,98";"6,25%";"2,01%";"0,96";"15,26%";"10,73%";"0,00";"10.728.000.000,00";"0,58";"-9,22%"
"ILMD3";"29,00";"15,73";"2,63";"0,683";"0,00%";"1,395";"5,70";"14,13";"7,53";"13,13";"4,84%";"4,92%";"1,60";"12,52%";"16,69%";"0,00";"658.715.000,00";"0,02";"0,65%"
"WLMM3";"7,50";"15,81";"0,69";"0,344";"2,53%";"0,553";"2,38";"25,11";"4,04";"22,70";"1,37%";"2,17%";"3,22";"2,45%";"4,37%";"303,55";"394.881.000,00";"0,02";"1,68%"
"USIM6";"10,10";"15,88";"0,88";"0,872";"1,58%";"0,484";"2,45";"9,29";"-6,05";"12,39";"9,38%";"6,46%";"2,73";"5,73%";"5,53%";"94,05";"14.416.700.000,00";"0,38";"9,45%"
