"Papel";"Cotação";"P/L";"P/VP";"PSR";"Div.Yield";"P/Ativo";"P/Cap.Giro";"P/EBIT";"P/Ativ Circ.Liq";"EV/EBIT";"Mrg Ebit";"Mrg. Líq.";"Liq. Corr.";"ROIC";"ROE";"Liq.2meses";"Patrim. Líq";"Dív.Brut/ Patrim.";"Cresc. Rec.5a"
"RDTR3";"6,30";"8,11";"1,37";"0,000";"0,00%";"1,320";"0,00";"-1.919,75";"0,00";"-1.897,05";"0,00%";"0,00%";"0,00";"0,00%";"16,95%";"0,00";"497.092.000,00";"0,00";"0,00%"
"BAUH4";"37,90";"8,23";"3,02";"1,134";"1,27%";"1,875";"9,25";"12,52";"11,83";"10,89";"9,06%";"13,79%";"1,61";"25,59%";"36,71%";"165.538,00";"65.533.000,00";"0,00";"12,31%"
"BRAP3";"26,70";"8,30";"0,96";"0,000";"4,22%";"0,919";"0,00";"-347,06";"0,00";"-342,75";"0,00%";"0,00%";"0,00";"0,00%";"11,58%";"669.600,00";"9.661.850.000,00";"0,00";"0,00%"
"COCE6";"35,00";"8,31";"0,93";"0,520";"0,00%";"0,316";"46,95";"6,66";"-0,75";"11,62";"7,81%";"6,26%";"1,03";"5,39%";"11,24%";"0,00";"2.919.700.000,00";"0,82";"7,03%"
"CIEL3";"7,67";"8,35";"2,28";"2,387";"17,71%";"0,232";"3,60";"7,12";"-5,86";"7,25";"33,52%";"28,60%";"1,08";"22,72%";"27,34%";"147.691.000,00";"9.132.030.000,00";"1,00";"-1,42%"
"AGIN3";"5,29";"8,46";"1,23";"1,816";"0,00%";"0,565";"1,29";"10,92";"3,55";"14,68";"16,63%";"21,83%";"2,72";"5,59%";"14,56%";"0,00";"1.028.210.000,00";"0,55";"44,17%"
"FIGE4";"38,01";"8,46";"0,40";"0,000";"0,11%";"0,400";"0,00";"-79,59";"0,00";"-79,59";"0,00%";"0,00%";"0,00";"0,00%";"4,74%";"0,00";"224.159.000,00";"0,00";"0,00%"
"AELP3";"1,93";"8,49";"-200,57";"-0,062";"0,00%";"5,216";"0,00";"-12,58";"0,00";"-11,94";"0,49%";"-0,73%";"0,00";"0,00%";"-2.363,83%";"0,00";"-904.000,00";"0,00";"1,18%"
"CPSL3";"38,02";"8,56";"3,49";"0,787";"0,00%";"2,043";"7,39";"5,79";"11,84";"5,48";"13,59%";"9,20%";"1,89";"57,15%";"40,82%";"0,00";"1.634.730.000,00";"0,17";"16,21%"
"SAPR4";"15,73";"8,58";"1,34";"1,859";"5,71%";"0,712";"-29,48";"4,91";"-1,93";"6,48";"37,86%";"21,66%";"0,80";"15,20%";"15,55%";"7.480.520,00";"5.934.740.000,00";"0,49";"12,65%"
"ENEV3";"26,75";"8,60";"1,31";"2,611";"0,00%";"0,677";"6,50";"8,57";"-2,23";"12,40";"30,45%";"30,37%";"2,36";"9,17%";"15,26%";"25.474.400,00";"6.428.840.000,00";"0,80";"22,01%"
"BRSR3";"23,75";"8,64";"1,32";"0,000";"9,02%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"15,27%";"86.662,50";"7.364.950.000,00";"0,00";"11,23%"
"TMGC12";"550,00";"8,71";"1,12";"0,800";"0,00%";"0,770";"4,66";"12,27";"8,22";"10,94";"6,52%";"9,18%";"1,69";"8,73%";"12,83%";"0,00";"1.167.010.000,00";"0,05";"10,49%"
"ACES4";"94,73";"8,74";"2,27";"1,683";"0,00%";"1,430";"6,37";"7,16";"20,65";"6,50";"23,52%";"19,27%";"2,05";"26,90%";"25,95%";"0,00";"3.105.800.000,00";"0,09";"13,34%"
"SOND6";"31,00";"8,74";"1,25";"1,449";"20,30%";"0,894";"2,59";"74,85";"4,06";"51,67";"1,94%";"16,58%";"3,18";"1,68%";"14,29%";"663,74";"60.989.000,00";"0,00";"-26,11%"
"ACES3";"95,27";"8,79";"2,28";"1,693";"0,00%";"1,438";"6,40";"7,20";"20,77";"6,54";"23,52%";"19,27%";"2,05";"26,90%";"25,95%";"0,00";"3.105.800.000,00";"0,09";"13,34%"
"BRSR6";"24,18";"8,79";"1,34";"0,000";"8,86%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"15,27%";"30.176.000,00";"7.364.950.000,00";"0,00";"11,23%"
"CPLE3";"50,54";"8,79";"0,84";"0,893";"2,61%";"0,381";"-160,68";"4,84";"-1,10";"8,02";"18,47%";"10,40%";"0,99";"8,79%";"9,51%";"7.129.530,00";"16.530.900.000,00";"0,68";"0,87%"
"EKTR4";"21,00";"8,87";"1,67";"0,617";"5,44%";"0,532";"3,29";"4,86";"-1,65";"8,75";"12,69%";"6,95%";"1,82";"12,67%";"18,82%";"1.834,93";"2.436.800.000,00";"1,53";"5,46%"
"CPLE6";"51,03";"8,88";"0,84";"0,902";"2,84%";"0,385";"-162,24";"4,88";"-1,11";"8,07";"18,47%";"10,40%";"0,99";"8,79%";"9,51%";"37.805.200,00";"16.530.900.000,00";"0,68";"0,87%"
"CZRS4";"2,49";"8,89";"0,30";"0,000";"0,00%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"3,34%";"0,00";"1.145.670.000,00";"0,00";"14,44%"
"AFLU5";"5,03";"8,93";"2,14";"2,911";"0,00%";"1,875";"9,63";"8,32";"11,92";"7,38";"34,98%";"32,59%";"3,27";"31,18%";"23,93%";"0,00";"44.270.000,00";"0,00";"8,61%"
"PATI4";"31,24";"8,96";"1,33";"0,513";"4,46%";"0,569";"1,24";"11,79";"2,81";"12,44";"4,35%";"5,73%";"2,45";"9,55%";"14,81%";"293,36";"420.237.000,00";"0,71";"12,68%"
"VIVO3";"65,79";"8,99";"2,69";"1,366";"0,00%";"1,175";"-29,21";"6,21";"-4,74";"6,65";"22,01%";"15,20%";"0,89";"23,92%";"29,88%";"0,00";"9.816.290.000,00";"0,35";"13,06%"
"PTNT4";"3,84";"9,00";"0,91";"0,346";"6,61%";"0,352";"4,49";"6,12";"-8,09";"8,15";"5,65%";"6,38%";"1,19";"7,36%";"10,14%";"192.742,00";"202.162.000,00";"0,58";"4,47%"
"BEES4";"6,30";"9,00";"1,31";"0,000";"5,24%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"14,51%";"21.496,00";"1.523.490.000,00";"0,00";"10,19%"
"CNFB4";"5,99";"9,01";"1,57";"1,511";"0,00%";"0,872";"3,47";"8,27";"53,95";"10,05";"18,27%";"16,77%";"2,20";"12,01%";"17,39%";"0,00";"1.552.470.000,00";"0,47";"-10,61%"
"TUPY3";"18,47";"9,02";"1,22";"0,527";"9,39%";"0,543";"2,31";"6,24";"-6,38";"8,32";"8,45%";"5,85%";"2,00";"11,56%";"13,53%";"9.499.060,00";"2.182.970.000,00";"0,65";"11,50%"
"CLSC5";"39,01";"9,03";"0,80";"0,188";"0,00%";"0,153";"64,42";"5,02";"-0,41";"6,90";"3,73%";"2,08%";"1,01";"3,75%";"8,87%";"0,00";"1.879.780.000,00";"0,70";"4,42%"
"BRKM5";"31,25";"9,04";"2,80";"0,433";"0,00%";"0,390";"-4,69";"4,75";"-0,70";"8,40";"9,13%";"4,73%";"0,79";"10,87%";"30,96%";"85.535.200,00";"8.907.290.000,00";"2,88";"5,39%"
"BGIP4";"37,49";"9,06";"1,35";"0,000";"4,12%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"14,89%";"28.293,00";"424.975.000,00";"0,00";"13,15%"
"GUAR3";"21,50";"9,10";"2,16";"1,451";"2,22%";"0,956";"3,49";"17,55";"-67,48";"20,42";"8,27%";"15,95%";"2,02";"6,13%";"23,74%";"15.897.900,00";"4.969.290.000,00";"0,52";"9,44%"
"BRDT3";"27,04";"9,10";"3,81";"0,321";"9,78%";"1,272";"10,57";"14,29";"-6,44";"16,22";"2,25%";"3,53%";"1,35";"10,60%";"41,88%";"268.781.000,00";"8.266.000.000,00";"0,74";"7,70%"
"BRGE11";"6,48";"9,12";"0,41";"18,631";"5,12%";"0,151";"0,74";"-1,18";"0,90";"3,07";"-1.581,23%";"321,80%";"1,48";"-28,26%";"4,52%";"369,00";"1.158.250.000,00";"0,00";"-0,56%"
"AFLU3";"5,15";"9,15";"2,19";"2,981";"0,00%";"1,919";"9,86";"8,52";"12,21";"7,57";"34,98%";"32,59%";"3,27";"31,18%";"23,93%";"0,00";"44.270.000,00";"0,00";"8,61%"
"ABCB4";"18,97";"9,20";"1,07";"0,000";"5,69%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"11,60%";"9.534.510,00";"3.882.220.000,00";"0,00";"23,29%"
"SAPR11";"84,51";"9,22";"1,43";"1,998";"5,22%";"0,765";"-31,67";"5,28";"-2,08";"6,85";"37,86%";"21,66%";"0,80";"15,20%";"15,55%";"38.431.500,00";"5.934.740.000,00";"0,49";"12,65%"
"FESA3";"30,45";"9,23";"1,51";"1,947";"4,32%";"0,991";"4,44";"8,41";"-39,04";"8,70";"23,14%";"21,12%";"3,43";"13,55%";"16,33%";"4.473,81";"1.783.710.000,00";"0,22";"12,58%"
"BRAP4";"29,69";"9,23";"1,07";"0,000";"4,17%";"1,022";"0,00";"-385,92";"0,00";"-381,61";"0,00%";"0,00%";"0,00";"0,00%";"11,58%";"55.190.800,00";"9.661.850.000,00";"0,00";"0,00%"
"BRSR5";"25,51";"9,28";"1,42";"0,000";"8,55%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"15,27%";"8.751,57";"7.364.950.000,00";"0,00";"11,23%"
"EALT3";"5,93";"9,30";"0,83";"0,482";"2,14%";"0,387";"5,30";"8,52";"-2,36";"12,91";"5,65%";"5,18%";"1,24";"4,86%";"8,94%";"2.741,10";"160.374.000,00";"0,48";"14,96%"
"CAMB4";"39,00";"9,30";"3,92";"0,708";"0,00%";"0,771";"-11,76";"7,18";"-2,61";"9,67";"9,86%";"7,62%";"0,89";"11,71%";"42,09%";"118.289,00";"41.805.000,00";"1,43";"-6,06%"
"BMEB4";"10,99";"9,33";"0,70";"0,000";"6,04%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"7,52%";"306.240,00";"820.955.000,00";"0,00";"11,75%"
"MYPK3";"20,86";"9,33";"1,03";"0,314";"3,18%";"0,347";"4,20";"4,32";"-1,40";"7,87";"7,28%";"4,35%";"1,27";"9,73%";"11,03%";"19.220.300,00";"3.114.830.000,00";"0,96";"12,38%"
"BMEB3";"11,00";"9,33";"0,70";"0,000";"0,49%";"0,000";"0,00";"0,00";"0,00";"0,00";"0,00%";"0,00%";"0,00";"0,00%";"7,52%";"13.052,10";"820.955.000,00";"0,00";"11,75%"
