"Papel";"P.VP";"P.Ativo";"P.Ativ.Circ.Liq";"Mrg..LÃ.q."
"ADHM3";-0,74;30,068;-0,72;129,769
"MOAR3";1,95;1,427;27,62;14,6246
"BRGE6";0,58;0,213;1,26;3,218
"BRGE11";0,38;0,138;0,82;3,218
"BRGE3";0,32;0,117;0,69;3,218
"BRGE8";0,3;0,11;0,66;3,218
"BRGE12";0,28;0,103;0,61;3,218
"GPIV33";0,5;0,189;-10,86;2,5052
"ITSA4";2,05;1,659;-39,48;1,8887
"ITSA3";2;1,624;-38,64;1,8887
